N;Nombre;Lugar;Tipo;Latitud;Longitud;;;;
44;cooperativadetransporterircay;COOPERATIVA DE TRANSPORTE RIRCAY;Transporte;-2.1783624;-79.8239815;;;;(iglesiacatolicasantamariareinadelasfamilias)-[:DISTANCIA_A {distancia:3.48, recorrido:7}]->(iglesiaevangelicalaresurreccion),
45;medigroup;Medigroup;Hospital;-2.1797415;-79.8256751;;;;(laiglesiadejesucristosudcapillaponton)-[:DISTANCIA_A {distancia:0.18, recorrido:0.24}]->(iglesiaevangelicalaresurreccion),
46;centrodesaludtipocelrecreo;Centro de Salud Tipo C El Recreo;Hospital;-2.1750525;-79.8071282;;;;(laiglesiadejesucristosudcapillaponton)-[:DISTANCIA_A {distancia:1.88, recorrido:3.8}]->(iglesiaevangelicaatriosdealabanzas),
47;clinicamoreno;Clinica Moreno;Hospital;-2.1750525;-79.8071282;;;;(iglesiaevangelicalaresurreccion)-[:DISTANCIA_A {distancia:0.01, recorrido:0.12}]->(iglesiaevangelicaatriosdealabanzas),
48;hospitalgeneralde120camasduran;Hospital General De 120 Camas - Durán;Hospital;-2.1886777;-79.8303695;;;;(iglesiaevangelicalaresurreccion)-[:DISTANCIA_A {distancia:2.33, recorrido:3}]->(iglesiacatolicainmaculadaconcepcion),
49;artesgraficassenefelder;Artes Graficas Senefelder;Turismo;-2.1873055;-79.8269951;;;;(iglesiaevangelicaatriosdealabanzas)-[:DISTANCIA_A {distancia:2.17, recorrido:3.3}]->(iglesiacatolicainmaculadaconcepcion),
50;pisicinaroquetasdemar;Pisicina Roquetas De Mar;Turismo;-2.1639377;-79.7873946;;;;(iglesiaevangelicaatriosdealabanzas)-[:DISTANCIA_A {distancia:1.82, recorrido:3.3}]->(iglesiaevangelicaapostolicadelnombredejesus),
;;;;;;;;;(iglesiacatolicainmaculadaconcepcion)-[:DISTANCIA_A {distancia:0.44, recorrido:0.55}]->(iglesiaevangelicaapostolicadelnombredejesus),
;;;;;;;;;(iglesiacatolicainmaculadaconcepcion)-[:DISTANCIA_A {distancia:0.18, recorrido:0.4}]->(elshaddaiiglesiacristiana),
;;;;;;;;;(iglesiaevangelicaapostolicadelnombredejesus)-[:DISTANCIA_A {distancia:0.56, recorrido:0.8}]->(elshaddaiiglesiacristiana),
;;;;;;;;;(iglesiaevangelicaapostolicadelnombredejesus)-[:DISTANCIA_A {distancia:0.05, recorrido:1.6}]->(parroquia5dejunioduran),
;;;;;;;;;(elshaddaiiglesiacristiana)-[:DISTANCIA_A {distancia:1.49, recorrido:2.5}]->(parroquia5dejunioduran),
;;;;;;;;;(elshaddaiiglesiacristiana)-[:DISTANCIA_A {distancia:1.98, recorrido:3}]->(iglesiacatolicasangabrielarcangelduran),
;;;;;;;;;(parroquia5dejunioduran)-[:DISTANCIA_A {distancia:5.37, recorrido:0.7}]->(iglesiacatolicasangabrielarcangelduran),
;;;;;;;;;(parroquia5dejunioduran)-[:DISTANCIA_A {distancia:0.54, recorrido:1.1}]->(localiglesiadediosenduran),
;;;;;;;;;(iglesiacatolicasangabrielarcangelduran)-[:DISTANCIA_A {distancia:78, recorrido:11}]->(localiglesiadediosenduran),
;;;;;;;;;(iglesiacatolicasangabrielarcangelduran)-[:DISTANCIA_A {distancia:2.18, recorrido:4.6}]->(parroquiajesusdelgranpoder),
;;;;;;;;;(localiglesiadediosenduran)-[:DISTANCIA_A {distancia:2.72, recorrido:4.1}]->(parroquiajesusdelgranpoder),
;;;;;;;;;(localiglesiadediosenduran)-[:DISTANCIA_A {distancia:3.11, recorrido:4.7}]->(asambleadeiglesiascristianascentral),
;;;;;;;;;(parroquiajesusdelgranpoder)-[:DISTANCIA_A {distancia:4.3, recorrido:7}]->(asambleadeiglesiascristianascentral),
