N;Nombre;Lugar;Tipo;Latitud;Longitud;;
;;;;;;;(parquerecreacionalcdlarioguayas)-[:DISTANCIA { distancia:1.22, recorrido: 1.8}]->(parquecolinasdelvalle),
;;;;;;;(parqueprimavera)-[:DISTANCIA { distancia:0.83, recorrido: 3.5}]->(skatemunicipaldeduranprima2),
;;;;;;;(parqueprimavera)-[:DISTANCIA { distancia:1.94, recorrido: 2.9}]->(parqueecologicoduran),
;;;;;;;(skatemunicipaldeduranprima2)-[:DISTANCIA { distancia:0.35, recorrido: 0.6}]->(parqueprimavera2),
;;;;;;;(skatemunicipaldeduranprima2)-[:DISTANCIA { distancia:0.79, recorrido: 0.8}]->(parqueecologicoduran),
;;;;;;;(parqueecologicoduran)-[:DISTANCIA { distancia:0.91, recorrido: 1.6}]->(parqueprimavera2),
;;;;;;;(parqueecologicoduran)-[:DISTANCIA { distancia:6.63, recorrido: 10.2}]->(canteracerrogrande),
;;;;;;;(parqueprimavera2)-[:DISTANCIA { distancia:5.68, recorrido: 9.3}]->(canteracerrogrande),
;;;;;;;(parqueprimavera2)-[:DISTANCIA { distancia:5.24, recorrido: 8.5}]->(primerparque4taetrecreo),
;;;;;;;(canteracerrogrande)-[:DISTANCIA { distancia:0.91, recorrido: 2.2}]->(primerparque4taetrecreo),
;;;;;;;(canteracerrogrande)-[:DISTANCIA { distancia:0.96, recorrido: 2.3}]->(canchasdeindor),
;;;;;;;(primerparque4taetrecreo)-[:DISTANCIA { distancia:0.5, recorrido: 0.7}]->(canchasdeindor),
;;;;;;;(primerparque4taetrecreo)-[:DISTANCIA { distancia:0.78, recorrido: 0.9}]->(parquedela5taetapa),
;;;;;;;(parque)-[:DISTANCIA { distancia:5, recorrido: 9.7}]->(areasverdes),
;;;;;;;(parque)-[:DISTANCIA { distancia:1.29, recorrido: 2.8}]->(hotellariaduran),
;;;;;;;(parque)-[:DISTANCIA { distancia:5.06, recorrido: 5.1}]->(iglesiadediosduran),
;;;;;;;(areasverdes)-[:DISTANCIA { distancia:1.37, recorrido: 2.5}]->(hotellariaduran),
;;;;;;;(hotellariaduran)-[:DISTANCIA { distancia:5.02, recorrido: 6.8}]->(iglesiadediosduran),
;;;;;;;(hotellariaduran)-[:DISTANCIA { distancia:3.64, recorrido: 4.9}]->(iglesiacatolicasantamariareinadelasfamilias),
;;;;;;;(iglesiadediosduran)-[:DISTANCIA { distancia:3.12, recorrido: 4.5}]->(iglesiacatolicasantamariareinadelasfamilias),
;;;;;;;(iglesiacatolicasantamariareinadelasfamilias)-[:DISTANCIA { distancia:3.88, recorrido: 7.3}]->(laiglesiadejesucristosudcapillaponton),
;;;;;;;(iglesiacatolicasantamariareinadelasfamilias)-[:DISTANCIA { distancia:3.48, recorrido: 6.3}]->(iglesiaevangelicalaresurreccion),
;;;;;;;(laiglesiadejesucristosudcapillaponton)-[:DISTANCIA { distancia:1.38, recorrido: 2.6}]->(iglesiaevangélicaatriosdealabanzas),
;;;;;;;(iglesiaevangelicalaresurreccion)-[:DISTANCIA { distancia:2.33, recorrido: 3.1}]->(iglesiacatolicainmaculadaconcepcion),
;;;;;;;(iglesiaevangelicalaresurreccion)-[:DISTANCIA { distancia:0.7, recorrido: 0.9}]->(iglesiaevangélicaatriosdealabanzas),
;;;;;;;(iglesiaevangélicaatriosdealabanzas)-[:DISTANCIA { distancia:2.17, recorrido: 3.6}]->(iglesiacatolicainmaculadaconcepcion),
;;;;;;;(iglesiacatolicainmaculadaconcepcion)-[:DISTANCIA { distancia:0.44, recorrido: 0.65}]->(iglesiaevangelicaapostolicadelnombredejesus),
;;;;;;;(iglesiaevangélicaatriosdealabanzas)-[:DISTANCIA { distancia:1.82, recorrido: 2.9}]->(iglesiaevangelicaapostolicadelnombredejesus),
;;;;;;;(elshaddaiiglesiacristiana)-[:DISTANCIA { distancia:1.49, recorrido: 2.5}]->(parroquia5dejunioduran),
;;;;;;;(elshaddaiiglesiacristiana)-[:DISTANCIA { distancia:1.98, recorrido: 3}]->(iglesiacatolicasangabrielarcangelduran),
;;;;;;;(parroquia5dejunioduran)-[:DISTANCIA { distancia:0.54, recorrido: 1}]->(iglesiacatolicasangabrielarcangelduran),
;;;;;;;(parroquia5dejunioduran)-[:DISTANCIA { distancia:0.54, recorrido: 1.7}]->(localiglesiadediosenduran),
;;;;;;;(iglesiacatolicasangabrielarcangelduran)-[:DISTANCIA { distancia:2.18, recorrido: 4.5}]->(parroquiajesusdelgranpoder),
;;;;;;;(localiglesiadediosenduran)-[:DISTANCIA { distancia:2.72, recorrido: 4.8}]->(parroquiajesusdelgranpoder),
;;;;;;;(localiglesiadediosenduran)-[:DISTANCIA { distancia:3.11, recorrido: 5.3}]->(asambleadeiglesiascristianascentral),
;;;;;;;(parroquiajesusdelgranpoder)-[:DISTANCIA { distancia:0.52, recorrido: 0.7}]->(iglesiaadventistadel7modialoshelechos),
;;;;;;;(parroquiajesusdelgranpoder)-[:DISTANCIA { distancia:0.43, recorrido: 0.6}]->(asambleadeiglesiascristianascentral),
;;;;;;;(asambleadeiglesiascristianascentral)-[:DISTANCIA { distancia:1.74, recorrido: 3.4}]->(concatedralsantuariocatolicodivinonino),
;;;;;;;(iglesiaadventistadel7modialoshelechos)-[:DISTANCIA { distancia:1.79, recorrido: 3.4}]->(concatedralsantuariocatolicodivinonino),
;;;;;;;(iglesiaadventistadel7modialoshelechos)-[:DISTANCIA { distancia:1.41, recorrido: 2.2}]->(iglesiaduran),
