;;Origigen;;;Destino;;;;;
Iglesia Adventista Del 7mo Dia Los Helechos;iglesiaadventistadel7modialoshelechos;34;1.41;2.2;36;Iglesia duran;iglesiaduran;;;(iglesiaadventistadel7modialoshelechos)-[:DISTANCIA { distancia:1.41, recorrido: 2.2}]->(iglesiaduran),
Concatedral Santuario Católico Divino Niño;concatedralsantuariocatolicodivinonino;35;2;5.9;36;Iglesia duran;iglesiaduran;;;(concatedralsantuariocatolicodivinonino)-[:DISTANCIA { distancia:2, recorrido: 5.9}]->(iglesiaduran),
;;;;;;;;;;
Iglesia MDS Durán;iglesiamdsduran;37;0.92;1.3;38;Estación de la aerovia Durán;estaciondelaaeroviadurán;;;(iglesiamdsduran)-[:DISTANCIA { distancia:0.92, recorrido: 1.3}]->(estaciondelaaeroviadurán),
Iglesia MDS Durán;iglesiamdsduran;37;0.86;1.1;39;AEROVÍA DURÁN;aeroviaduran;;;(iglesiamdsduran)-[:DISTANCIA { distancia:0.86, recorrido: 1.1}]->(aeroviaduran),
Estación de la aerovia Durán;estaciondelaaeroviadurán;38;0.14;1.8;39;AEROVÍA DURÁN;aeroviaduran;;;(estaciondelaaeroviadurán)-[:DISTANCIA { distancia:0.14, recorrido: 1.8}]->(aeroviaduran),
Estación de la aerovia Durán;estaciondelaaeroviadurán;38;1.2;1.3;40;Coop De Transporte PRESIDENTE Eloy Alfaro;coopdetransportepresidenteeloyalfaro;;;(estaciondelaaeroviadurán)-[:DISTANCIA { distancia:1.2, recorrido: 1.3}]->(coopdetransportepresidenteeloyalfaro),
Coop De Transporte PRESIDENTE Eloy Alfaro;coopdetransportepresidenteeloyalfaro;40;3.42;5.3;41;"Terminal Terrestre de Durán ""Luis Rodas Toral""";terminalterrestrededuranluisrodastoral;;;(coopdetransportepresidenteeloyalfaro)-[:DISTANCIA { distancia:3.42, recorrido: 5.3}]->(terminalterrestrededuranluisrodastoral),
Coop De Transporte PRESIDENTE Eloy Alfaro;coopdetransportepresidenteeloyalfaro;40;3.47;5;42;Cooperativa De Transportes Ecuador;cooperativadetransportesecuador;;;(coopdetransportepresidenteeloyalfaro)-[:DISTANCIA { distancia:3.47, recorrido: 5}]->(cooperativadetransportesecuador),
"Terminal Terrestre de Durán ""Luis Rodas Toral""";terminalterrestrededuranluisrodastoral;41;0.14;0.29;43;Cooperativas Mariscal Sucre Trans S.A.N.;cooperativasmariscalsucretranssan;;;(terminalterrestrededuranluisrodastoral)-[:DISTANCIA { distancia:0.14, recorrido: 0.29}]->(cooperativasmariscalsucretranssan),
